State,Species,Population,Sustainable Quota,Special Quota,Year
NSW,Red Kangaroo,2915853,489006,43738,2024
NSW,Eastern Grey Kangaroo,5883251,870072,88248,2024
NSW,Western Grey Kangaroo,470180,70152,7053,2024
NSW,Wallaroo,365616,54842,5484,2024
QLD,Red Kangaroo,6371750,1151300,0,2024
QLD,Eastern Grey Kangaroo,9592950,1117100,0,2024
QLD,Wallaroo,1763000,218000,0,2024
SA,Red Kangaroo,2019168,343200,30200,2024
SA,Western Grey Kangaroo,954571,138200,14300,2024
SA,Euro,430872,58200,6400,2024
SA,Eastern Grey Kangaroo,121539,18200,1800,2024
SA,Tammar Wallaby,384671,19200,5700,2024
VIC,Grey Kangaroo,2363850,155650,80700,2024
WA,Red Kangaroo,609155,89330,0,2024
WA,Western Grey Kangaroo,1086235,161100,0,2024
NSW,Red Kangaroo,4229211,718967,63438,2023
NSW,Eastern Grey Kangaroo,6567061,969112,98506,2023
NSW,Western Grey Kangaroo,720327,107307,10805,2023
NSW,Wallaroo,365616,54842,5484,2023
QLD,Red Kangaroo,6031700,1071600,0,2023
QLD,Eastern Grey Kangaroo,8267050,909100,0,2023
QLD,Wallaroo,1968450,229700,0,2023
SA,Red Kangaroo,1626425,313800,24300,2023
SA,Western Grey Kangaroo,1405091,200200,21000,2023
SA,Euro,375921,29300,5600,2023
SA,Eastern Grey Kangaroo,92317,13800,1300,2023
SA,Tammar Wallaby,384671,19200,5700,2023
VIC,Grey Kangaroo,2363850,166750,0,2023
WA,Red Kangaroo,736630,125225,0,2023
WA,Western Grey Kangaroo,1419920,203240,0,2023
NSW,Red Kangaroo,3646662,619932,54699,2022
NSW,Eastern Grey Kangaroo,6330698,933037,94921,2022
NSW,Western Grey Kangaroo,639428,94754,9544,2022
NSW,Wallaroo,296555,44484,4448,2022
QLD,Red Kangaroo,4595150,837150,0,2022
QLD,Eastern Grey Kangaroo,6625550,734750,0,2022
QLD,Wallaroo,1738700,211950,0,2022
SA,Red Kangaroo,1387013,236200,20800,2022
SA,Western Grey Kangaroo,1011909,143900,15100,2022
SA,Euro,302821,23300,4500,2022
SA,Eastern Grey Kangaroo,92317,6900,1300,2022
SA,Tammar Wallaby,42221,2900,600,2022
VIC,Grey Kangaroo,1858150,118980,0,2022
WA,Red Kangaroo,1219645,207340,0,2022
WA,Western Grey Kangaroo,1179545,168070,0,2022
NSW,Red Kangaroo,3540644,564137,53110,2020
NSW,Eastern Grey Kangaroo,9437361,1408964,141560,2020
NSW,Western Grey Kangaroo,883845,129030,13258,2020
NSW,Wallaroo,160300,44484,2405,2020
QLD,Red Kangaroo,4987200,874900,0,2020
QLD,Eastern Grey Kangaroo,14553200,1696550,0,2020
QLD,Wallaroo,2746700,253700,0,2020
SA,Red Kangaroo,1552679,269800,7700,2020
SA,Western Grey Kangaroo,1085193,170400,6800,2020
SA,Euro,570021,57500,2800,2020
SA,Eastern Grey Kangaroo,61826,7400,300,2020
SA,Tammar Wallaby,87043,8700,400,2020
WA,Red Kangaroo,1278620,217360,0,2020
WA,Western Grey Kangaroo,1811985,271770,0,2020
